مرض,description
فطريات,العدوى الفطرية هي عدوى جلدية أو جهازية تسببها الفطريات، غالبًا في بيئة رطبة، تسبب حكة وطفح جلدي.
رد_فعل_دوائي,رد فعل دوائي غير مرغوب (ADR) هو إصابة ناتجة عن تناول الأدوية. يمكن أن تحدث ADR بعد جرعة واحدة أو تناول طويل الأمد لدواء أو نتيجة مزج دواءين أو أكثر.
الملاريا,مرض معدي يسببه طفيليات البلازموديوم من عائلة البروتوزوا التي يمكن أن تنتقل عن طريق لدغة بعوض أنوفيليس أو إبرة ملوثة أو نقل دم.
حساسية,رد فعل تحسسي هو استجابة مبالغ فيها من الجهاز المناعي لمادة أجنبية عادةً غير ضارة مثل حبوب اللقاح أو شعر الحيوانات أو بعض الأطعمة.
القصور_الدرقي,حالة لا تنتج فيها الغدة الدرقية كمية كافية من هرمونات الدرقية، مما يؤدي إلى تباطؤ التمثيل الغذائي، الإرهاق، زيادة الوزن وحساسية للبرد.
الصدفية,مرض مناعي ذاتي مزمن للجلد يسبب تراكمًا سريعًا لخلايا الجلد، مما يؤدي إلى بقع حمراء ومتقشرة، غالبًا مصحوبة بحكة.
الارتجاع_المعدي_المريئي,الارتجاع المعدي المريئي (GERD) هو حالة مزمنة حيث يرتد حمض المعدة إلى المريء، مما يسبب حرقة المعدة وعدم الراحة.
الاستسقاء_المزمن,تقلص أو توقف تدفق الصفراء من المرارة أو الكبد، غالبًا بسبب انسدادات أو أمراض كبدية، مما يؤدي إلى حكة واصفرار.
التهاب_الكبد_أ,عدوى فيروسية حادة للكبد تسببها الفيروس الكبدي أ، غالبًا تنتقل عبر الماء أو الأطعمة الملوثة، تسبب اصفرارًا وإرهاقًا.
التهاب_المفاصل_التنكسي,شكل من أشكال التهاب المفاصل ينتج عن تآكل الغضاريف والعظام في المفاصل، يسبب ألمًا وتيبسًا، خاصة عند كبار السن.
الدوار_الوضعي_الانتيابي,اضطراب في الأذن الداخلية يسبب دوارًا قصيرًا وشديدًا، غالبًا يُثيرها تغيرات في وضعية الرأس.
نقص_سكر_الدم,انخفاض خطير في مستوى السكر في الدم، يمكن أن يسبب رعشة، ارتباك وفي الحالات الشديدة فقدان الوعي.
الأكزيما,حالة جلدية شائعة مرتبطة بزيادة الزهم والبكتيريا، تسبب حبوبًا، رؤوسًا سوداء وخراجات، خاصة على الوجه.
السكري,مرض استقلابي يتميز بارتفاع مستوى السكر في الدم بسبب نقص الإنسولين أو سوء استخدامه من قبل الجسم.
التهاب_الجلد_التقيحي,عدوى بكتيرية سطحية للجلد، غالبًا تسببها الستافيلوكوك أو السترتوبتوكوك، تؤدي إلى بثور وقشور صفراء.
ارتفاع_ضغط_الدم,ارتفاع مستمر في ضغط الدم الشرياني يمكن أن يضر بالأعضاء بمرور الوقت، مما يزيد من مخاطر أمراض القلب.
قرحة_معدية,جروح في بطانة المعدة أو الاثني عشر، غالبًا مرتبطة بإصابة ببكتيريا هيليكوباكتر بيلوري أو استخدام مفرط للمضادات الالتهابية.
البواسير_الثنائية_الشكل,حالة تتمدد فيها الأوردة حول الشرج أو المستقيم، تسبب ألمًا ونزيفًا، خاصة أثناء التبرز.
الزكام_الشائع,عدوى فيروسية للجهاز التنفسي العلوي، تسبب سعالًا، انسداد أنفي وإرهاقًا، عادةً حميدة ولكنها معدية.
الجدري,عدوى فيروسية شديدة العدوى تسببها الفيروس الجدري-الهربس، تؤدي إلى طفح جلدي مع بثور حكة.
التهاب_العمود_الفقري_الرقبي,تدهور في الفقرات العنقية والأقراص بين الفقرات بسبب الشيخوخة، يسبب ألمًا وتيبسًا في الرقبة.
فرط_نشاط_الغدة_الدرقية,حالة تنتج فيها الغدة الدرقية كمية زائدة من الهرمونات، تسرّع التمثيل الغذائي وتسبب فقدان الوزن، العصبية وتعرق.
التهاب_المسالك_البولية,عدوى في الجهاز البولي، غالبًا تسببها بكتيريا مثل E. coli، تسبب حرقة أثناء التبول وضرورة متكررة للتبول.
الدوالي,توسع غير طبيعي للأوردة، غالبًا في الساقين، بسبب سوء الدورة الدموية، يسبب ألمًا وانتفاخًا.
الإيدز,متلازمة مناعية تسببها فيروس HIV، تضعف الجهاز المناعي تدريجيًا، تجعل الجسم عرضة للعدوى.
الشلل,فقدان جزئي أو كلي لعملية العضلات، غالبًا بسبب إصابات عصبية أو سكتات دماغية.
التيفوئيد,عدوى بكتيرية جهازية تسببها سالمونيلا التيفوئيد، تنتقل عبر الماء أو الأطعمة الملوثة، تسبب الحمى والإرهاق.
التهاب_الكبد_ب,عدوى فيروسية للكبد تسببها الفيروس الكبدي ب، يمكن أن تصبح مزمنة وتؤدي إلى أضرار كبدية خطيرة.
فطريات,عدوى جلدية أو جهازية تسببها الفطريات، غالبًا في بيئة رطبة، تسبب حكة وطفح جلدي.
التهاب_الكبد_ج,عدوى فيروسية للكبد، غالبًا مزمنة، تسببها الفيروس الكبدي ج، يمكن أن تتطور إلى تليف الكبد أو سرطان الكبد.
الصداع_النصفي,نوع من الصداع الشديد، غالبًا مصحوب بنوبات الغثيان وحساسية للضوء، قد يستمر عدة ساعات أو أيام.
الربو_القصبي,مرض تنفسي مزمن يتميز بتضييق المسالك الهوائية، يسبب ضيق التنفس وصفير.
التهاب_الكبد_الكحولي,التهاب الكبد الناتج عن استهلاك مفرط للكحول على مدى طويل، يمكن أن يؤدي إلى قصور الكبد.
اليرقان,حالة تتحول فيها الجلد والعينان إلى اللون الأصفر بسبب تراكم البيليروبين، غالبًا مرتبط بمشاكل الكبد أو المرارة.
التهاب_الكبد_هـ,عدوى فيروسية حادة للكبد، تنتقل عادة عبر الماء الملوث، تسبب اصفرارًا وإرهاقًا، عادةً محدودة ذاتيًا.
الدنج,مرض فيروسي ينقلها بعوض ال Aedes، يسبب ارتفاع الحرارة، ألم المفاصل وطفح جلدي، قد يكون خطيرًا أحيانًا.
التهاب_الكبد_د,عدوى فيروسية للكبد تتطلب وجود التهاب الكبد ب لتطوّرها، تزيد من أضرار الكبد.
نوبة_قلبية,توقف مفاجئ لتدفق الدم إلى جزء من القلب، يسبب ألمًا في الصدر ويتطلب تدخلاً فوريًا.
الالتهاب_الرئوي,عدوى في الرئتين، غالبًا بكتيرية أو فيروسية، تسبب سعالًا، حمى وصعوبة في التنفس.
التهاب_المفاصل,التهاب في المفاصل، يسبب ألمًا وتيبسًا، يمكن أن ينتج عن أسباب مختلفة مثل التآكل أو المناعة الذاتية.
التهاب_المعدية_الأمعائي,التهاب المعدة والأمعاء، غالبًا فيروسي، يسبب القيء، الإسهال والجفاف.
السل,عدوى بكتيرية تسببها ميكوباكتيريوم التوبيركولوسيس، تؤثر بشكل رئيسي على الرئتين، مع سعال مستمر وفقدان الوزن.
