مرض,الأعراض_1,الأعراض_2,الأعراض_3,الأعراض_4,الأعراض_5,الأعراض_6,الأعراض_7,الأعراض_8,الأعراض_9,الأعراض_10,الأعراض_11,الأعراض_12,الأعراض_13,الأعراض_14,الأعراض_15,الأعراض_16,الأعراض_17
فطريات,حكة,طفح_جلدي,ثآليل_جلدية_عُقدية,بقع_متقشرة,,,,,,,,,,,,,
حساسية,عطس_مستمر,قشعريرة,قشعريرة,دموع_العين,,,,,,,,,,,,,
الارتجاع_المعدي_المريئي,ألم_في_المعدة,الحموضة,قرح_في_اللسان,القيء,سعال,ألم_في_الصدر,,,,,,,,,,,
الاستسقاء_المزمن,حكة,القيء,جلد_أصفر,غثيان,فقدان_الشهية,ألم_بطني,اصفرار_العينين,,,,,,,,,,
رد_فعل_دوائي,حكة,طفح_جلدي,ألم_في_المعدة,حرقة_أثناء_التبول,تبول_مخطط,,,,,,,,,,,,
قرحة_معدية,القيء,اضطراب_الهضم,فقدان_الشهية,ألم_بطني,انتفاخ_البطن,حكة_داخلية,,,,,,,,,,,
الإيدز,ترقق_العضلات,بقع_في_الحلق,ارتفاع_الحرارة,علاقات_زوجية_خارجية,,,,,,,,,,,,,
السكري,الإرهاق,فقدان_الوزن,عصبية,كسل,مستوى_سكر_غير_منتظم,رؤية_ضبابية_ومشوهة,سمنة,جوع_زائد,شهية_متزايدة,التبول_الزائد,,,,,,,
التهاب_المعدية_الأمعائي,القيء,عيون_منخفضة,جفاف,إسهال,,,,,,,,,,,,,
الربو_القصبي,الإرهاق,سعال,ارتفاع_الحرارة,ضيق_التنفس,تاريخ_عائلي,بلغم_مخاطي,,,,,,,,,,,
ارتفاع_ضغط_الدم,صداع,ألم_في_الصدر,دوخة,فقدان_التوازن,عدم_تركيز,,,,,,,,,,,,
الصداع_النصفي,الحموضة,اضطراب_الهضم,صداع,رؤية_ضبابية_ومشوهة,جوع_زائد,تيبس_الرقبة,اكتئاب,تهيج,اضطرابات_بصرية,,,,,,,,
التهاب_العمود_الفقري_الرقبي,ألم_في_الظهر,ضعف_في_الأطراف,ألم_في_الرقبة,دوخة,فقدان_التوازن,,,,,,,,,,,,
الشلل,القيء,صداع,ضعف_جانب_واحد_من_الجسم,تغير_في_الوعي,,,,,,,,,,,,,
اليرقان,حكة,القيء,الإرهاق,فقدان_الوزن,ارتفاع_الحرارة,جلد_أصفر,بول_داكن,ألم_بطني,,,,,,,,,
الملاريا,قشعريرة,القيء,ارتفاع_الحرارة,تعرق,صداع,غثيان,إسهال,ألم_عضلي,,,,,,,,,
الجدري,حكة,طفح_جلدي,الإرهاق,كسل,ارتفاع_الحرارة,صداع,فقدان_الشهية,حرارة_خفيفة,تورم_العقد_اللمفاوية,شعور_بالضيق,بقع_حمراء_على_الجسم,,,,,,
