مرض,precaution_1,precaution_2,precaution_3,precaution_4
رد_فعل_دوائي,إيقاف التهيج,زيارة المستشفى القريب,إيقاف الدواء,متابعة
الملاريا,زيارة المستشفى القريب,تجنب الأطعمة الدهنية,تجنب الأطعمة غير النباتية,حماية النفس من البعوض
حساسية,استخدام كالامين,تغطية المنطقة بعصابة,,استخدام الثلج لضغط الحكة
القصور_الدرقي,تقليل التوتر,ممارسة الرياضة,أكل صحي,نوم جيد
الصدفية,غسل اليدين بماء دافئ وصابون,إيقاف النزيف بالضغط,زيارة الطبيب,حمامات الملح
الارتجاع_المعدي_المريئي,تجنب الأطعمة الدهنية والحارة,تجنب الاستلقاء بعد الأكل,الحفاظ على وزن صحي,ممارسة الرياضة
الاستسقاء_المزمن,حمامات باردة,دواء مضاد للحكة,زيارة الطبيب,أكل صحي
التهاب_الكبد_أ,زيارة المستشفى القريب,غسل اليدين جيدًا,تجنب الأطعمة الدهنية والحارة,أدوية
التهاب_المفاصل_التنكسي,أسيتامينوفين,زيارة المستشفى القريب,متابعة,حمامات الملح
الدوار_الوضعي_الانتيابي,الاستلقاء,تجنب التغييرات المفاجئة في الوضعية,تجنب الحركات السريعة للرأس,الاسترخاء
نقص_سكر_الدم,الاستلقاء على الجانب,فحص النبض,شرب مشروبات سكرية,زيارة الطبيب
الأكزيما,الاستحمام مرتين,تجنب الأطعمة الدهنية والحارة,شرب الكثير من الماء,تجنب المنتجات الزائدة
السكري,اتباع نظام غذائي متوازن,ممارسة الرياضة,زيارة الطبيب,متابعة
التهاب_الجلد_التقيحي,نقع المنطقة المصابة في ماء دافئ,استخدام المضادات الحيوية,إزالة القشور بقماش رطب مضغوط,زيارة الطبيب
ارتفاع_ضغط_الدم,التأمل,حمامات الملح,تقليل التوتر,نوم جيد
قرحة_معدية,تجنب الأطعمة الدهنية والحارة,استهلاك الأطعمة البروبيوتيكية,إزالة الحليب,تقييد الكحول
البواسير_الثنائية_الشكل,تجنب الأطعمة الدهنية والحارة,استهلاك الخزامى,حمام دافئ بالملح الإنجليزي,استهلاك عصير الصبار
الزكام_الشائع,شرب مشروبات غنية بفيتامين C,أخذ البخار,تجنب الأطعمة الباردة,السيطرة على الحمى
الجدري,استخدام نبات النيم في الحمام,استهلاك أوراق النيم,التطعيم,تجنب الأماكن العامة
التهاب_العمود_الفقري_الرقبي,استخدام وسادة دافئة أو كيس بارد,ممارسة الرياضة,أخذ مسكنات ألم بدون وصفة,زيارة الطبيب
فرط_نشاط_الغدة_الدرقية,أكل صحي,التدليك,استخدام المليسة,أخذ علاج اليود الفعال
التهاب_المسالك_البولية,شرب الكثير من الماء,زيادة فيتامين C,شرب عصير التوت البري,أخذ البروبيوتيك
الدوالي,الاستلقاء على الظهر ورفع الساق,استخدام مراهم,استخدام ضغط الأوردة,عدم البقاء ساكنًا لفترة طويلة
الإيدز,تجنب الجروح المفتوحة,ارتداء معدات حماية إن أمكن,زيارة الطبيب,متابعة
الشلل,التدليك,أكل صحي,ممارسة الرياضة,زيارة الطبيب
التيفوئيد,أكل خضروات غنية بالسعرات,العلاج بالمضادات الحيوية,زيارة الطبيب,أدوية
التهاب_الكبد_ب,زيارة المستشفى القريب,التطعيم,أكل صحي,أدوية
فطريات,الاستحمام مرتين,استخدام الديتول أو النيم في ماء الاستحمام,حفظ المنطقة المصابة جافة,استخدام ملابس نظيفة
التهاب_الكبد_ج,زيارة المستشفى القريب,التطعيم,أكل صحي,أدوية
الصداع_النصفي,التأمل,تقليل التوتر,استخدام نظارات مشمسة مقلوبة,زيارة الطبيب
الربو_القصبي,الانتقال إلى ملابس واسعة,التنفس بعمق,الابتعاد عن المنبه,طلب المساعدة
التهاب_الكبد_الكحولي,إيقاف استهلاك الكحول,زيارة الطبيب,أدوية,متابعة
اليرقان,شرب الكثير من الماء,استهلاك الحلبة الشوكية,أكل فواكه وأطعمة غنية بالألياف,أدوية
التهاب_الكبد_هـ,إيقاف استهلاك الكحول,الراحة,زيارة الطبيب,أدوية
الدنج,شرب عصير أوراق البابايا,تجنب الأطعمة الدهنية والحارة,حماية النفس من البعوض,البقاء مرطبًا
التهاب_الكبد_د,زيارة الطبيب,أدوية,أكل صحي,متابعة
نوبة_قلبية,استدعاء سيارة إسعاف,مضغ أو ابتلاع الأسبرين,البقاء هادئًا,
الالتهاب_الرئوي,زيارة الطبيب,أدوية,الراحة,متابعة
التهاب_المفاصل,ممارسة الرياضة,استخدام العلاج بالحرارة والبارد,تجربة الوخز بالإبر,التدليك
التهاب_المعدية_الأمعائي,إيقاف الأطعمة الصلبة لفترة,محاولة شرب كميات صغيرة من الماء,الراحة,استئناف الأكل تدريجيًا
السل,تغطية الفم,زيارة الطبيب,أدوية,الراحة
