maladie,precaution_1,precaution_2,precaution_3,precaution_4
Réaction médicamenteuse,arrêter l irritation,consulter l hôpital le plus proche,arrêter le médicament,suivi
Paludisme,consulter l hôpital le plus proche,éviter les aliments huileux,éviter les aliments non végétariens,tenir les moustiques à distance
Allergie,appliquer de la calamine,couvrir la zone avec un bandeau,,utiliser de la glace pour comprimer les démangeaisons
Hypothyroïdie,réduire le stress,faire de l exercice,manger sainement,bien dormir
Psoriasis,laver les mains avec de l eau savonneuse chaude,arrêter le saignement en faisant pression,consulter un médecin,bains de sel
RGO,éviter les aliments gras et épicés,éviter de s allonger après avoir mangé,maintenir un poids santé,faire de l exercice
Cholestase chronique,bains froids,médicament anti-démangeaison,consulter un médecin,manger sainement
Hépatite A,consulter l hôpital le plus proche,laver les mains à fond,éviter les aliments gras et épicés,médicaments
Ostéoarthrite,acétaminophène,consulter l hôpital le plus proche,suivi,bains de sel
Vertige positionnel paroxystique,s allonger,éviter les changements soudains de position,éviter les mouvements brusques de la tête,se détendre
Hypoglycémie,s allonger sur le côté,vérifier le pouls,boire des boissons sucrées,consulter un médecin
Acné,se baigner deux fois,éviter les aliments gras et épicés,boire beaucoup d eau,éviter trop de produits
Diabète,avoir une alimentation équilibrée,faire de l exercice,consulter un médecin,suivi
Impétigo,tremper la zone affectée dans de l eau chaude,utiliser des antibiotiques,retirer les croûtes avec un chiffon humide compressé,consulter un médecin
Hypertension,méditation,bains de sel,réduire le stress,bien dormir
Ulcère gastrique,éviter les aliments gras et épicés,consommer des aliments probiotiques,éliminer le lait,limiter l alcool
Hémorroïdes dimorphiques,éviter les aliments gras et épicés,consommer de l hamamelis,bain chaud avec du sel d Epsom,consommer du jus d aloès
Rhume commun,boire des boissons riches en vitamine C,prendre de la vapeur,éviter les aliments froids,garder la fièvre sous contrôle
Varicelle,utiliser du neem dans le bain,consommer des feuilles de neem,se faire vacciner,éviter les lieux publics
Spondylose cervicale,utiliser un tapis chauffant ou un pack froid,faire de l exercice,prendre un analgésique en vente libre,consulter un médecin
Hyperthyroïdie,manger sainement,masser,utiliser du mélisse,prendre un traitement à l iode radioactif
Infection urinaire,boire beaucoup d eau,augmenter l apport en vitamine C,boire du jus de canneberge,prendre des probiotiques
Varices,s allonger à plat et lever la jambe haut,utiliser des pommades,utiliser une compression veineuse,ne pas rester immobile trop longtemps
SIDA,éviter les coupures ouvertes,porter un équipement de protection si possible,consulter un médecin,suivi
Paralysie,masser,manger sainement,faire de l exercice,consulter un médecin
Typhoïde,manger des légumes riches en calories,thérapie antibiotique,consulter un médecin,médicaments
Hépatite B,consulter l hôpital le plus proche,vaccination,manger sainement,médicaments
Infection fongique,se baigner deux fois,utiliser du Dettol ou du neem dans l eau de bain,garder la zone infectée sèche,utiliser des vêtements propres
Hépatite C,consulter l hôpital le plus proche,vaccination,manger sainement,médicaments
Migraine,méditation,réduire le stress,utiliser des lunettes polarisées au soleil,consulter un médecin
Asthme bronchique,passer à des vêtements larges,respirer profondément,s éloigner du déclencheur,chercher de l aide
Hépatite alcoolique,arrêter la consommation d alcool,consulter un médecin,médicaments,suivi
Jaunisse,boire beaucoup d eau,consommer du chardon-Marie,manger des fruits et des aliments riches en fibres,médicaments
Hépatite E,arrêter la consommation d alcool,se reposer,consulter un médecin,médicaments
Dengue,boire du jus de feuilles de papaye,éviter les aliments gras et épicés,tenir les moustiques à distance,rester hydraté
Hépatite D,consulter un médecin,médicaments,manger sainement,suivi
Crise cardiaque,appeler une ambulance,mâcher ou avaler de l aspirine,rester calme,
Pneumonie,consulter un médecin,médicaments,se reposer,suivi
Arthrite,faire de l exercice,utiliser une thérapie chaud et froid,essayer l acupuncture,masser
Gastroentérite,arrêter de manger des aliments solides pendant un moment,essayer de prendre de petites gorgées d eau,se reposer,reprendre l alimentation progressivement
Tuberculose,couvrir la bouche,consulter un médecin,médicaments,se reposer
