disease,precaution_1,precaution_2,precaution_3,precaution_4
drug reaction,stop irritation,consult nearest hospital,stop taking drug,follow up
malaria,consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out
allergy,apply calamine,cover area with bandage,,use ice to compress itching
hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep
psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
gerd,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy
hepatitis a,consult nearest hospital,wash hands through,avoid fatty spicy food,medication
osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths
paroxysmal positional vertigo,lie down,avoid sudden change in body,avoid abrupt head movement,relax
hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor
acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
diabetes,have balanced diet,exercise,consult doctor,follow up
impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
hypertension,meditation,salt baths,reduce stress,get proper sleep
peptic ulcer disease,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
dimorphic hemorrhoids,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume aloe vera juice
common cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
chicken pox,use neem in bathing,consume neem leaves,take vaccine,avoid public places
cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliever,consult doctor
hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment
urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
varicose veins,lie down flat and raise the leg high,use ointments,use vein compression,dont stand still for long
aids,avoid open cuts,wear ppe if possible,consult doctor,follow up
paralysis,massage,eat healthy,exercise,consult doctor
typhoid,eat high calorie vegetables,antibiotic therapy,consult doctor,medication
hepatitis b,consult nearest hospital,vaccination,eat healthy,medication
fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
hepatitis c,consult nearest hospital,vaccination,eat healthy,medication
migraine,meditation,reduce stress,use polarized glasses in sun,consult doctor
bronchial asthma,switch to loose clothing,take deep breaths,get away from trigger,seek help
alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up
jaundice,drink plenty of water,consume milk thistle,eat fruits and high fibrous food,medication
hepatitis e,stop alcohol consumption,rest,consult doctor,medication
dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
hepatitis d,consult doctor,medication,eat healthy,follow up
heart attack,call ambulance,chew or swallow aspirin,keep calm,
pneumonia,consult doctor,medication,rest,follow up
arthritis,exercise,use hot and cold therapy,try acupuncture,massage
gastroenteritis,stop eating solid food for a while,try taking small sips of water,rest,ease back into eating
tuberculosis,cover mouth,consult doctor,medication,rest
